Item_Type,Initial_Price,New_Price,Price_Change (%),Sales_Original,Sales_RL,Cost,Revenue_Original,Revenue_RL,Revenue_Change_%,Profit_Original,Profit_RL,Profit_Change_%,PED,PED_Impact,Price_Change
Breads,140.95266852589643,154.62428671653336,9.699439062499996,109,188,48.9728414509924,15363.84086932271,29069.365902708272,89.20637196100917,10025.801151164538,19862.4717099217,98.1135613049197,0.5272047011609198,0.05113589872373862,13.671618190636934
Breakfast,141.78815090909092,126.68895878349302,-10.64912126209962,130,179,42.033396220680956,18432.45961818182,22677.32362224525,23.02928687757052,12968.118109493294,15153.34569874336,16.850768714470394,-1.9840482676478168,0.21128370592040283,15.099192125597895
Canned,139.7638320493066,131.78231061212895,-5.710720234374993,121,154,31.06711282069544,16911.423677966097,20294.475834267858,20.00453788352273,13152.303026661948,15510.14045988076,17.927183006953808,0.9733390781580749,-0.05558467168545221,7.9815214371776335
Dairy,148.49920762463344,148.49920762463344,0.0,180,85,20.209292795928377,26729.85737243402,12622.432648093843,-52.77777777777778,23092.184669166912,10904.64276043993,-52.77777777777778,0.10489416168503762,0.0,0.0
Frozen Foods,138.50336612149533,160.33495920639604,15.7625,75,150,34.43880715513464,10387.75245911215,24050.243880959406,131.52500000000003,7804.841922477052,18884.42280768921,141.95778716932412,1.2921312379062115,0.20367218637496662,21.831593084900703
Fruits and Vegetables,144.5812345779221,154.6839947526654,6.987601263909824,154,50,29.163533462363635,22265.510125,7734.19973763327,-65.2637658234059,17774.325971796003,6276.023064515089,-64.69051442809265,-0.7588677470804708,-0.05302665228639898,10.10276017474331
Hard Drinks,137.07792803738317,154.76204940716494,12.900779595208824,68,91,35.268713880062826,9321.299106542056,14083.346496052009,51.08780798770592,6923.026562697784,10873.893532966293,57.06849359146361,0.19371027034268407,0.024990135030192838,17.684121369781764
Health and Hygiene,130.81892076923077,154.69265957563312,18.249454028531904,64,176,23.810023934624425,8372.41092923077,27225.90808531143,225.18599857846274,6848.569397414806,23035.343872817528,236.3526385746036,0.5993486920093347,0.1093778640188508,23.873738806402343
Household,149.4247531868132,156.89599084615386,4.999999999999999,189,96,44.55753712033534,28241.278352307694,15062.015121230772,-46.666666666666664,19819.903836564317,10784.491557678579,-45.58756870564102,-1.656130485533844,-0.08280652427669218,7.471237659340659
Meat,139.88203247058823,132.8879308470588,-5.000000000000004,121,92,12.171736687053137,16925.725928941174,12225.68963792941,-27.768595041322314,15452.945789807745,11105.889862720522,-28.13092070739288,1.7686018979780354,-0.08843009489890183,6.994101623529417
Others,132.8514295857988,169.55583013212208,27.62815625000005,168,100,25.652315728877078,22319.0401704142,16955.583013212206,-24.03085937499998,18009.45112796285,14390.351440324499,-20.095557948565464,1.6201831609901265,0.44762673525454194,36.704400546323285
Seafood,141.84171875,169.83946282976692,19.738723082673378,92,93,28.889318680589046,13049.438125,15795.070043168324,21.04023094226766,10391.620806385808,13108.363405873542,26.1435886673064,1.8401989801618241,0.36323178086432206,27.997744079766903
Snack Foods,146.19493366666666,160.77696458158127,9.97437500000002,107,57,15.108771073295992,15642.857902333333,9164.286981150131,-41.41551985981308,14026.21939749066,8303.087029972261,-40.80310028903646,-1.1259566538868984,-0.11230713899613154,14.582030914914611
Soft Drinks,131.49250561797754,154.3259141992512,17.364798452933194,151,114,15.854552699524076,19855.36834831461,17593.154218714637,-11.39346341963984,17461.330890686473,15785.735210968893,-9.596036465990744,-0.6181132320700504,-0.10733411695987548,22.83340858127366
Starchy Foods,147.83802297297296,154.84184931131756,4.737500000000001,60,60,19.00489105733747,8870.281378378379,9290.510958679053,4.737499999999987,7729.98791493813,8150.217495238806,5.436354945504969,1.1124262096524453,0.052701191682284605,7.003826338344595
