Item_Type,Initial_Price,Q_Final_Price,DQN_Price,Avg_Outlet_Sales,Original_Revenue,Q_Revenue,DQN_Revenue,Q_Price_Change (%),DQN_Price_Change (%),Q_Revenue_Change (%),DQN_Revenue_Change (%)
Breads,140.95266852589643,157.15737456297694,155.04793537848607,2204.1322262948206,310678.31908017996,346395.63387414336,341746.150988198,11.49655853028658,10.000000000000002,11.496558530286581,10.000000000000012
Breakfast,141.78815090909092,83.83792356651789,141.78815090909092,2111.808650909091,299429.44368622184,177049.6522620276,299429.44368622184,-40.87099448791632,0.0,-40.87099448791632,0.0
Canned,139.7638320493066,146.75202365177194,125.78744884437592,2225.19490385208,311001.7668189551,326551.8551599028,279901.5901370595,5.000000000000014,-10.000000000000007,5.0,-10.000000000000018
Dairy,148.49920762463344,163.72037640615838,141.07424724340177,2232.5425970674487,331530.8066527574,365512.7143346651,314954.26632011955,10.250000000000007,-4.999999999999999,10.25000000000002,-4.999999999999992
Frozen Foods,138.50336612149533,159.93412180838004,152.35370273364487,2132.867743691589,295409.36199324386,341118.3295207353,324950.29819256824,15.473093749999997,10.0,15.473093749999986,9.999999999999998
Fruits and Vegetables,144.5812345779221,157.0246930619215,130.1231111201299,2289.0095915584416,330947.83270822465,359431.0285302586,297853.0494374022,8.606551548910046,-9.999999999999993,8.606551548910058,-9.99999999999999
Hard Drinks,137.07792803738317,157.4976730321764,123.37013523364486,2139.2216224299063,293240.0676154608,336922.4276328273,263916.0608539147,14.89644998808595,-9.999999999999998,14.896449988085948,-9.999999999999998
Health and Hygiene,130.81892076923077,157.0334890021164,117.7370286923077,2010.0002650000001,262946.0654131679,315637.35450812854,236651.4588718511,20.03882013300588,-9.999999999999993,20.03882013300587,-9.999999999999998
Household,149.4247531868132,164.3289384124904,164.36722850549455,2258.78430021978,337518.28656258923,371183.6261579165,371270.1152188482,9.974374999999998,10.000000000000018,9.974375000000004,10.000000000000021
Meat,139.88203247058823,161.5261104941678,153.87023571764706,2158.9779105882353,302002.21819218626,348731.3045401428,332202.4400114049,15.473093750000006,10.000000000000007,15.473093750000007,10.00000000000001
Others,132.8514295857988,131.85753275240646,119.56628662721891,1926.139701775148,255890.4129627926,253976.028812527,230301.37166651333,-0.7481265624999975,-10.000000000000002,-0.748126562500002,-10.0
Seafood,141.84171875,146.71371370674171,134.7496328125,2326.065928125,329933.189171064,341265.7706419377,313436.5297125108,3.434810998961969,-5.000000000000001,3.434810998961959,-4.999999999999996
Snack Foods,146.19493366666666,161.1799143675,160.81442703333337,2277.3217391666667,332932.90059512877,367058.52290612954,366226.1906546418,10.25000000000001,10.000000000000036,10.250000000000021,10.000000000000037
Soft Drinks,131.49250561797754,157.44744717637883,144.6417561797753,2006.5117348314607,263841.25556486374,315920.15037866065,290225.3811213501,19.738723082673353,10.000000000000012,19.73872308267334,9.999999999999998
Starchy Foods,147.83802297297296,157.3785013143136,140.4461218243243,2374.332772972973,351016.663036261,373668.9334319449,333465.8298844479,6.453331930098111,-5.000000000000006,6.4533319300981145,-5.000000000000006
